번호,제목,글쓴이,작성일,조회,추천,링크,본문,갤러리,날짜,닉네임,IP,상세날짜,댓글
1551739,여기에 사주를 왜 올리냐 ㅋㅋㅋㅋㅋ,ㅇㅇ(39.7),2022-04-03,50.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=1551739&search_pos=-1550386&s_type=search_subject_memo&s_keyword=사주&page=14,"영혼결혼식에 보내는데
그리고 일단 볼줄 아는 사람없음
죄다 단식 무뇌충",,,,,,
15836662,누가 사주 소개팅 어플 만들었으면,ㅇㅇ(223.62),2021-02-12,100.0,2.0,https://gall.dcinside.com/board/view/?id=divination&no=15836662&search_pos=-15795549&s_type=search_subject_memo&s_keyword=궁합&page=1,"알아서 궁합 추천해주고
바로 시주까지 프로필에 까서
그고 보고 만날 수 있는 그런 거 재밌을듯ㅋㅋㅋ
그치만 솔직히 역갤러만 할것 같아서 망할것 같아",,,,,,
3941953,돈 빌려주면 안되는 사주는 있는데 돈 잘빌리는 사주도 있나??,ㅇㅇ(211.234),2023-04-06,59.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=3941953&search_pos=-3920386&s_type=search_subject_memo&s_keyword=사주&page=1,"나같기도 하고
급전필요해서 빌리려고하면 30분이면 빌림
인간관계폭이 넓은것도 아님",,,,,,
399548,사주공개,ㅇㅇ(125.179),2021-10-27,65.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=399548&search_pos=-400386&s_type=search_subject_memo&s_keyword=사주&page=3,ㅇ,,,,,,
6229520,여자 사주에 재성이 왕하면 남편복,찐보,2024-04-16,166.0,2.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=6229520&search_pos=-6200386&s_type=search_subject_memo&s_keyword=사주&page=16,- dc official App,,,,,,
1078439,우리 타로여신릴님은 제가 보디가드 해드릴거에요,곤란더화(119.70),2022-01-25,59.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=1078439&search_pos=-1072492&s_type=search_subject_memo&s_keyword=타로&page=1,"전 양아치만 혼내요
여자는 절대 손찌검 안함
누가 님 건드리면 내가 박살낼꺼임",,,,,,
9688572,사주는 돈 없고 못살고 못생긴 사람들이 관심 가지는거,ㅇㅇ(175.223),2019-01-02,118.0,2.0,https://gall.dcinside.com/board/view/?id=divination&no=9688572&search_pos=-9655549&s_type=search_subject_memo&s_keyword=사주&page=6,왜 그걸 못가지는지 어떤 식으로든 자기 합리화 하기 좋은게 명리라서,,,,,,
8295306,재생살사주 여자 신기한게 더치페이하더라,역갤러(118.235),2025-02-12,142.0,2.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=8295306&search_pos=-8250386&s_type=search_subject_memo&s_keyword=사주&page=11,"못생기고 별로인남자랑
- dc official App",,,,,,
9169333,내 사주,역갤러(116.39),2025-07-02,26.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=9169333&search_pos=-9120386&s_type=search_subject_memo&s_keyword=사주&page=11,,,,,,,
11446805,존나 성격 이상한년 사주 뒤져보니 원진살 있네 자미원진,열정(211.195),2019-08-22,335.0,4.0,https://gall.dcinside.com/board/view/?id=divination&no=11446805&search_pos=-11415549&s_type=search_subject_memo&s_keyword=사주&page=13,성격이 꼬였다 했어,,,,,,
13111500,원국에 이혼수 있거나 배우자 자리 별로 안좋은사람은,ㅇㅇ(211.36),2020-03-01,260.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=13111500&search_pos=-13075549&s_type=search_subject_memo&s_keyword=궁합&page=1,"궁합 잘 보구 결혼하면 좋다고 함
추성훈하고 야노시호가 그 케이스",,,,,,
8642527,정용진도 짱개사주 믿는 썩열이때문에 짱깨묻음,ㅇㅇ,2025-04-04,77.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=8642527&search_pos=-8590386&s_type=search_subject_memo&s_keyword=사주&page=26,"정용진 신세계와 합작한 알리바바
개인검열한다너 이제 정보털림ㅅㅅ",,,,,,
2673861,야 나 사주봐줘 기유월 좋았다가 경술월에 다시 불행해지냐?ㅠㅠ,요술양탄자,2022-09-17,125.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=2673861&search_pos=-2660386&s_type=search_subject_memo&s_keyword=사주&page=3,ㅠㅠ,,,,,,
1572690,남이 자기한테 에너지써주길바라는거 혐오지않냐,ㅇㅇ(223.62),2022-04-07,253.0,8.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=1572690&search_pos=-1570386&s_type=search_subject_memo&s_keyword=사주&page=12,"사무실에 어떤 삼촌뻘아재있는데
약간 이런식임
자기가 아메리카노먹자고하면
안돼 라떼먹어
이러면서
상대가 자기한테 에너지써주길바라더라
내 에너지쓰기싫어서 바로 예.  했더니
왜 그렇게 바로 수긍하녜
ㅋㅋㅋㅋㅋㅋㅋ
존나피곤함 진짜
말섞기도귀찮구만  지랑 티키타카 해주길바라더라ㅅㅂ
사주까보니깐
지지 식상+재성쎄고 천간엔비겁만있는 임오일주더라고
삼주상엔 관인이없었음",,,,,,
1137192,성격이나 외모 사주에 나오는 거 어떻게 앎?,ㅇㅇ(39.7),2022-02-01,48.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=1137192&search_pos=-1140386&s_type=search_subject_memo&s_keyword=사주&page=17,"가스라이팅 쩌는 거, 싸패 같은 거, 외모 퉁퉁한 거 이런 거 보는 사람들 있던데",,,,,,
4261144,친구 사주어떰,ㅇㅇ(211.228),2023-05-26,59.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4261144&search_pos=-4240386&s_type=search_subject_memo&s_keyword=사주&page=5,??,,,,,,
9711983,내가 신강 신약에 따른 성격을 잘 안 믿는 이유가,ㅇㅇ(211.36),2019-01-05,407.0,5.0,https://gall.dcinside.com/board/view/?id=divination&no=9711983&search_pos=-9685549&s_type=search_subject_memo&s_keyword=사주&page=19,"보통 신강하면 주체성있고 의리있고 강하고 마웨하고 사람이 진국이고
신약하면 이리저리 잘 휘둘리고 이런 고정관념이 있잖아
근데 난 양쪽 인간들을 신강에서도 보고 신약에서도 보고 중화에서도 봄
어떤 신강한 친구는 정치질하면서 힘있는 사람에게 붙으며 이간질 시키기도했고
한 친구는 극신약했는데 엄청 강단있었고
또 어떤 신강한 친구는 진짜 진국이고 생각깊고 멘탈도 쎘고
또 다른 신약한 친구는 인간됨됨이가 진짜 별로였음 맨날 남의 아이디어 카피하고..
같은 사주라도 성격이 천차만별일텐데 걍 그 사람의 타고난 성격이나 만나온 사람들에 따라 다른거같음",,,,,,
7120277,전두환 며느리 와꾸만 보고서 무진일주가 아니라고 우긴다고?,역갤러(222.97),2024-08-24,168.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=7120277&search_pos=-7080386&s_type=search_subject_memo&s_keyword=사주&page=3,애초에 사주로 와꾸 판단못해 병신같은 년들아ㅋㅋ 저렇게 재생관이 빵빵하게 되니까 전씨 집안에 맏며느리로 들어가서 여태까지 구설수 하나 없이 이혼도 안하고 잘살았지. 상식적으로 둘 중에 어느 사주 같겠냐고,,,,,,
12109632,사주잘보는사람한테보고싶다,ㅇㅇ(220.77),2019-11-05,55.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=12109632&search_pos=-12075549&s_type=search_subject_memo&s_keyword=사주&page=12,ㅇ,,,,,,
11331138,편인과 편관을 제압하는 사주는 어떠냐,ㅇㅇ(106.102),2019-08-09,228.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=11331138&search_pos=-11295549&s_type=search_subject_memo&s_keyword=사주&page=5,"겁재로 식신생해서 식신제살
+ 재성으로 편인 조지는 사주
이건 흉신을 조지는거라 신강해도 당사자가 많이 힘드냐?",,,,,,
13831764,타로러있어ㅠㅠ?,ㅇㅇ(114.30),2020-05-26,25.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=13831764&search_pos=-13795549&s_type=search_subject_memo&s_keyword=타로&page=2,"나 일년동안 짝사랑한 남자애잇는데
얘랑 나 사이는 끝난거 맞니...? ㅠㅠ",,,,,,
7121020,사주에 있는건 그 욕심임,ㅇㅇ(58.127),2024-08-24,167.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=7121020&search_pos=-7080386&s_type=search_subject_memo&s_keyword=사주&page=2,"비겁다는 친구욕심 많고 우르르 몰려다니기 좋아하지만
친구복이 없다보니 오히려 친구 끊어내게 됨
아무튼 욕심이 많으니까 그 복이 없는 것임
무비겁은 아예 친구욕심이 없고 친구가 글케 좋은지도 모르겠고
그러다보니 친구가 없음
욕심이 없어서 그 복이 없는 경우",,,,,,
1839831,사주안봐줄거지?ㅋㅋ,ㅇㅇ(175.201),2022-05-19,38.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=1839831&search_pos=-1830386&s_type=search_subject_memo&s_keyword=사주&page=2,- dc official App,,,,,,
11233815,술사가없네 꼬부기사주 그래도 좋은듯 재성부러움,얼음동안공주(175.223),2019-07-30,125.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=11233815&search_pos=-11205549&s_type=search_subject_memo&s_keyword=사주&page=23,겁재보단 훨낫지 휴,,,,,,
10886106,Senri년 내랑동갑이었어 시발,ㅇㅇ(175.117),2019-06-17,77.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=10886106&search_pos=-10855549&s_type=search_subject_memo&s_keyword=사주&page=17,"말투는 씨발 한 10년넘게사주공부한거처럼거들먹거리더니
에라이사알못년",,,,,,
4193974,내 동생이 아이유랑 꽤 비슷한 사주라서,ㅇㅇ(223.62),2023-05-15,240.0,1.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=4193974&search_pos=-4180386&s_type=search_subject_memo&s_keyword=사주&page=20,"아이유가 어떻게 해야 무난하게 넘어가고 활동할 수 있는지 아는데
과연 할 수 있을까 모르겠네
내 동생은 비겁 도움 많이 받는 편임",,,,,,
9400988,자기 사주는 자기가 못보는 것이 사실 같음.,역갤러(14.34),2025-08-11,38.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=9400988&search_pos=-9350386&s_type=search_subject_memo&s_keyword=사주&page=14,"많은 원국 사주 공부 하다보면 발복하고 망한 시기까지 공부 하거든.
그렇게 공부하다보면 내가 X 되는 시기 내가 언제 죽는지가 먼저 보일터인데.. .아닐거야 하고 부정하게 되거든.
그리고 공부 하면서 그 시기를 좋게 해석 할수 있는 방법을 찾게 되거든.
그리고 그 공부하는 시기가 되면 내가 X되는 시기가 얼마 안남았다는 것을 깨닫게 되거든.
사주 진지하게 공부 하는 사람치고 대운 좋은 사람 별로 못봤다.",,,,,,
1159379,배구선수김익현 자택사망 (사주),ㅇㅇ(175.127),2022-02-04,205.0,4.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=1159379&search_pos=-1160386&s_type=search_subject_memo&s_keyword=사주&page=14,역갤러분들 풀이 기다려요,,,,,,
9323095,난 사주 비식관 인데 사주보러가면 좋다하던데,ㅇㅇ(1.235),2025-07-28,65.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=9323095&search_pos=-9270386&s_type=search_subject_memo&s_keyword=사주&page=11,"인성없는데도 ㅋㅋ
- dc official App",,,,,,
5804751,솔직히 남자복 없는 여자 사주 특징이 ㅋㅋㅋ,ㅇㅇ(106.101),2024-02-12,326.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=5804751&search_pos=-5780386&s_type=search_subject_memo&s_keyword=사주&page=18,"https://youtube.com/v/MotQBoSjv6c?si=vE5oQp2uXn_ry66w
기독교 세력의 코로나 전파 및 이태원&세월호 참사 인신공양의 진실
기독교 세력의 코로나 전파 및 이태원&세월호 참사 인신공양의 진실
youtube.com
기독교 세력에서 코로나 뿌리고
이태원 세월호 참사 인신공양한 거 터졌다 ㅋㅋㅋㅋㅋ
이게 사고가 아니라 종교단체 짓이랜다 ㅋㅋㅋ
인다 관다 식다 재다 비겁다 대운 기신운 용신운",,,,,,
14603799,집에 가려고만 하면 비오는 사람 사주,ㅇㅇ(39.7),2020-09-01,35.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=14603799&search_pos=-14565549&s_type=search_subject_memo&s_keyword=사주&page=13,우산도 없음,,,,,,
11696932,사주에 관이 3개면 공무원 천직인가요,ㅇㅇ(59.17),2019-09-17,643.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=11696932&search_pos=-11665549&s_type=search_subject_memo&s_keyword=사주&page=14,"공뭔이 천직이란 얘기도 들은거 같은데
회계사는 어떤가요",,,,,,
10168097,난 토 없이 4개 오행 다 갖춘 사주 귀하게 봄,ㅇㅇ(175.223),2019-03-07,16388.0,119.0,https://gall.dcinside.com/board/view/?id=divination&no=10168097&search_pos=-10135549&s_type=search_subject_memo&s_keyword=사주&page=7,"진술축미 그 엿같은 것들이 사주의 3분의 1인데 그거 피해 가기가 어디 쉽냐. 거기다 또 무기토 2개도 피해야지. 사주에 토 하나도 없는 거 진짜 보통 귀한 거 아님. 그러면서도 나머지 화수목금은 고르게 다 갖고 있다면 진짜 이쁘고 특별한 사주라고 생각함. 여기서 일지가 수나 금이면 더 아름답고. 일간은 여자는 병화, 남자는 계수 없음 더 좋고. 병화가 없어도 되려면 겨울생은 아닌 게 좋겠지. 물론 난 토떡 토다자임",,,,,,
1613313,나는 그냥 사주도 사주지만 관상따라 직업도,ㅇㅇ(27.100),2022-04-13,135.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=1613313&search_pos=-1610386&s_type=search_subject_memo&s_keyword=사주&page=12,"따라온다고 생각 듦.
살아보니 그렇게 믿게 됨.
공무원관상 전문직 관상 교육자관상 의료보건계열 관상
회사원관상 자영업관상 서비스직관상 막노동관상 유흥업관상 범죄자관상",,,,,,
16362751,진상관격 없으면 그냥 모든 사주 다 봐드림,ㅇㅇ(175.196),2021-04-29,267.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=16362751&search_pos=-16315549&s_type=search_subject_memo&s_keyword=사주&page=11,"원국이랑
대운 세운 보이게 올리셈",,,,,,
14475537,리오넬 메시 사주.jpg,새로운세상의빛으로(39.121),2020-08-16,511.0,3.0,https://gall.dcinside.com/board/view/?id=divination&no=14475537&search_pos=-14435549&s_type=search_subject_memo&s_keyword=사주&page=9,"1987년 6월 24일 새벽 5시 55분
조후로만 보면 올해가 용신세운일텐데 흠
종아격으로도 안보이고......",,,,,,
3437385,똑똑똑 여기가 그렇게 사주를 잘 본다는 역학파도사?,전학생은잉어킹(121.168),2023-01-12,38.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=3437385&search_pos=-3420386&s_type=search_subject_memo&s_keyword=사주&page=3,"생년월일 19881009 17시 태생인데, 어떤 운명을 타고났는지
소개팅은 여러번 나가나.... 잘 이어지는 결과가 없으니,
흘러흘러 이곳에서 용한 사주이야기를 듣고자ㅜ청하오니,
가여운 잉어킹의 사주를 봐주시면 감사하겠나이다 ㅠㅠ",,,,,,
5902401,역갤러들은 웃긴 게 용신이 뭔지도 모르고 중년용신 타령함,ㅇㅇ(210.95),2024-02-27,3051.0,53.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=5902401&search_pos=-5870386&s_type=search_subject_memo&s_keyword=사주&page=6,"용신이 뭐냐? 신이 글자를 뜻하고 용은 쓴다는 것이니 글자를 쓴다는 거임
그럼 이 용신이란 단어가 어떻게 해서 나타나게 되었는지 생각해 봐야 함
명리학의 시작점인 연해자평에서는 용신이라는 표현보다는 유용지신이란 표현을 사용함
팔자에서 가장 유용하게 쓰는 글자란 뜻임 난강망에서는 의미가 다르긴 하지만 진신이라고 표현하기도 했지
청대에 이르러 심효첨이 자평진전을 집필하면서 팔자용신 전구월령(팔자의 용신은 월지에서 구해야만 한다)고 일축했지
심효첨의 자평진전은 연해자평의 잡기재관격 등의 격을 사길신과 사흉신으로 업그레이드, 어레인지시킨 책임
문제는 억부충 서락오의 등장임 서락오는 자평진전, 난강망, 적천수를 하나의 개념으로 묶으려고 했는데 그게 용신 개념임
서락오는 각 고서의 평주를 쓰면서, 심효첨의 본뜻을 왜곡하고 용신을 억부용신, 조후용신, 병약용신, 통관용신, 전왕용신 등으로 나누고 용신이란 표현을 억부용신의 화신과 같은 개념으로
만들어 버림
서락오 평주가 국내로 들어오면서 잘못된 용신 개념이 일파만파로 퍼진 거고 ㅇㅇ
용신을 월지에서만 구해야 한다는 구절을 생각하면 심효첨의 용신 개념은 격국 그 자체였고 역갤러들이 생각하는 격국용신(격을 성격시키는 글자)은 자평진전의 상신 개념에 부합하지
일부 사람들은 그래서 심효첨의 용신 개념이 가장 용신 개념에 맞다고 주장하지만
심효첨의 용신 개념, 사길신과 사흉신의 개념은 결국 연해자평의 격을
자의적인 기준으로
변형시키고 발전시킨 것임을 반드시 고려해야 함
아무리 객관적으로 집필하려 했어도
자의적인 기준으로 격을 분류했다는 비판
시대가 바뀌면 격을 나누는 기준이 바뀔 수 있다는 비판
더 나아가 그렇다면 심효첨의 용신 개념이 절대적인 정답이 될 수 없다는 비판이 생길 수밖에 없지
실제로 심효첨의 용신 개념이
정답이었다면 격국이 성격된 사주는 무조건 성공하고 파격이면 무조건 망할 수밖에 없겠지만
임상에서 격이 분명히 패격인데도 성공하거나 잘 사는 사람들이 심심치 않게 나온다. 성격 사주인데도 힘들게 사는 임상도 당연히 있고 ㅇㅇ 신분제 사회에 나온 이론이 현대에 맞을 수는 없겠지
심효첨의 용신 개념이 틀렸다는 게 아니라 이런 한계가 있으니 심효첨의 용신 개념이 무조건 맞다고 신봉하지 말자는 거임
그럼 용신이 도대체 뭐냐고?
용신의 의미가
연해자평, 자평진전, 난강망 등등에서 다 다르다는 것만 알면 됨
개소리하지 말라고?
사주 해석에 용신은 베이직일 뿐이고 해석에는 더 많은 이론이 동원되고 필요해
용신으로만 사주해석 끝낼 수 있으면 고서만 읽으면 다 되게? 용신을 버리자는 게 아니라 굳이 용신에 집착하고 얽매일 필요 없다는 거지
적어도 이 정도는 알고
초년용신이 낫다, 중년용신이 낫다 싸워라
자기가 하는 말의 의미도 모르고 용신 용신 ㅇㅈㄹ하는 거 안 우스꽝스러움?",,,,,,
